block,term,coefficient,coef_std
(intercept),(Intercept),-11.3094295726406,
focal,BLUE_t,0,0
focal,GREEN_t,0,0
focal,RED_t,0,0
focal,NIR_t,0.463103179186359,0.0247905485783942
focal,SWIR1_t,-0.293156834805786,-0.0149725186568962
focal,SWIR2_t,21.3652387856374,0.982789056792842
focal,NBR_t,-16.6912450053195,-2.96254098165856
focal,NBR2_t,-44.3937065111178,-3.34677509192514
focal,NDVI_t,-2.43387136530866,-0.322771562847991
focal,NDMI_t,-0.0139662275373015,-0.00170554185806917
focal,NDSI_t,0,0
prev,GREEN_med,0.00176292385332909,0.216069787001118
prev,GREEN_wet,0,0
prev,NIR_med,0,0
prev,NIR_sd,0,0
prev,SWIR1_med,0,0
prev,SWIR1_sd,0,0
prev,SWIR2_med,0.00134625403545981,0.376113432677176
prev,SWIR2_wet,-0.00154605674641167,-0.404902567928257
prev,SWIR2_sd,0,0
prev,NDVI_med,0,0
prev,NDVI_wet,0.000361694322508452,0.366601727277399
prev,NDVI_dry,0,0
prev,NDVI_sd,0.00117589310903742,0.475787956957322
prev,NDWI_med,-0.000230382843332282,-0.190184165456637
prev,NDWI_wet,0.000732416558989614,0.625632840543541
prev,NDWI_sd,-0.000791443408512248,-0.327423458093568
prev,NPV_med,0.340970545009077,0.656385642280725
prev,NPV_wet,-0.0177314835666024,-0.0312484759490192
prev,NPV_dry,0.0721852040263332,0.16988789333509
prev,NPV_sd,0,0
prev,NDFI_med,0,0
prev,NDFI_sd,-0.0483155684456626,-0.782662556197482
pairs,BLUE_t__NBR2_t,0,0
pairs,NBR_t__NBR2_t,58.1888150229368,2.27540097221346
pairs,NBR2_t__NDSI_t,0,0
pairs,NBR2_t__NDVI_t,0,0
pairs,NDMI_t__NDSI_t,0,0
pairs,NDVI_t__NDMI_t,0,0
pairs,NIR_t__NBR_t,0,0
pairs,NIR_t__SWIR2_t,-8.70570611739463,-0.142497450263115
pairs,SWIR1_t__NDMI_t,0,0
pairs,SWIR1_t__NDVI_t,0.7506649328199,0.0189199379816721
pairs,SWIR1_t__SWIR2_t,0,0
sameband,GREEN_med__GREEN_t,0,0
sameband,NIR_med__NIR_t,0,0
sameband,NIR_sd__NIR_t,0,0
sameband,SWIR1_med__SWIR1_t,0,0
sameband,SWIR1_sd__SWIR1_t,0,0
sameband,SWIR2_med__SWIR2_t,-0.00929937995819368,-0.887572401454339
sameband,NDVI_med__NDVI_t,0,0
sameband,NDVI_sd__NDVI_t,0,0
cross_idx,NDVI_med__NBR_t,0,0
cross_idx,NDVI_med__NBR2_t,0,0
cross_idx,NDVI_sd__NBR2_t,0,0
cross_idx,NDWI_med__NBR_t,0,0
cross_idx,NDWI_med__NBR2_t,0.00137999675269063,1.00871197415358
cross_idx,NDWI_med__NDVI_t,0,0
cross_idx,NDWI_sd__NBR2_t,0.00474075811326818,0.467962463969367
cross_idx,NPV_med__NBR2_t,-0.672728102286367,-0.324585976910059
cross_idx,NPV_med__NDVI_t,0,0
cross_idx,NDFI_med__NBR_t,0,0
cross_idx,NDFI_med__NDVI_t,0,0
cross_idx,NDFI_sd__NBR2_t,0,0
cross_idx,NDFI_sd__NDVI_t,0.0699235989963204,0.489284199457019
cross_band,NDVI_med__RED_t,0,0
cross_band,NDVI_med__NIR_t,0,0
cross_band,NDVI_med__SWIR1_t,0,0
cross_band,NDVI_med__SWIR2_t,0,0
cross_band,NDVI_sd__SWIR2_t,-0.00795652592431257,-0.714106167665105
cross_band,NDWI_med__RED_t,0,0
cross_band,NDWI_med__NIR_t,0,0
cross_band,NDWI_med__SWIR1_t,0,0
cross_band,NPV_med__NIR_t,0,0
cross_band,NPV_med__SWIR1_t,0,0
cross_band,NPV_med__SWIR2_t,0,0
cross_band,NDFI_med__NIR_t,0,0
cross_band,NDFI_sd__RED_t,0,0
cross_band,NDFI_sd__NIR_t,0,0
cross_band,NDFI_sd__SWIR1_t,0,0
